Preprocessing,Model,Train Size,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Train Time
raw,atbi-rnn,320000,40000,40000,0.93065,0.9495347415608232,0.9486666190033602,0.8837023914968999,0.9273012506870278,0.9301920267925802,0.8951773603125672,0.93065,220.47347331047055
raw,RF,320000,40000,40000,0.935075,0.9481854560507796,0.9356065943356348,0.9176096181046676,0.933800556163694,0.9337521138564888,0.9020545775918009,0.935075,28.010820865631104
raw,atbi-rnn,320000,40000,40000,0.93215,0.9486271036315324,0.9471262740656852,0.8916480571683787,0.9291338116218654,0.9311019147682332,0.8974441456217255,0.93215,215.75327563285828
raw,RF,320000,40000,40000,0.936575,0.9482071713147412,0.9380925428045848,0.919702865228157,0.9353341931158276,0.9352747953139412,0.9043097688237168,0.936575,27.65781307220459
raw,atbi-rnn,320000,40000,40000,0.9299,0.951375077155202,0.9457818566890224,0.8820863692909188,0.926414434378381,0.9289784264467624,0.8940541188809078,0.9299,220.27855610847476
raw,RF,320000,40000,40000,0.936425,0.9482958024355398,0.9383791503034632,0.9185552407932012,0.9350767311774014,0.9351207132453324,0.9040564169698008,0.936425,28.009788513183597
raw,atbi-rnn,320000,40000,40000,0.927775,0.9474734958006332,0.9420727425923324,0.8841702279202279,0.9245721554377312,0.926866450581836,0.89084892767884,0.927775,220.3877155780792
raw,RF,320000,40000,40000,0.938175,0.9490424308046288,0.939700984907532,0.9217821782178218,0.9368418646433276,0.936527254963514,0.906613027311814,0.938175,27.66724276542664
raw,atbi-rnn,320000,40000,40000,0.9317,0.9487477761051047,0.9467035696543892,0.8909251881363435,0.9287921779652792,0.9307511314711492,0.8968264205376587,0.9317,221.5012626647949
raw,RF,320000,40000,40000,0.93545,0.9491351610036234,0.9379883506179856,0.914563966356795,0.9338958259928012,0.9342452041919328,0.9025761539155348,0.93545,27.65222477912903
raw,atbi-rnn,320000,40000,40000,0.931975,0.9494874057980854,0.9468743332622146,0.8902765388046388,0.9288794259549796,0.9307940253961704,0.897183190773082,0.931975,214.58585143089292
raw,RF,320000,40000,40000,0.938325,0.9493081244006027,0.9396006537341008,0.9225880483714362,0.93716560883538,0.9372889939890284,0.906947031200572,0.938325,27.884844303131104
raw,atbi-rnn,320000,40000,40000,0.928575,0.9458040766241734,0.9433048433048432,0.8878752989106368,0.9256614062798846,0.9275037150338244,0.8921021690037791,0.928575,229.53132009506223
raw,RF,320000,40000,40000,0.938175,0.949790507589807,0.941511423550088,0.9188659058487876,0.9367226123295608,0.9367595466057635,0.9066704703702057,0.938175,28.09996438026428
raw,atbi-rnn,320000,40000,40000,0.930625,0.9493541111338938,0.94227636518167,0.8916444444444445,0.9277583069200028,0.929715846729142,0.895176347154301,0.930625,211.8259892463684
raw,RF,320000,40000,40000,0.9378,0.951473136915078,0.939270114132732,0.9186363236973903,0.9364598582484002,0.9366944854350198,0.9061876696683354,0.9378,27.68841910362244
raw,atbi-rnn,320000,40000,40000,0.924475,0.944337943310968,0.9391992090954028,0.8800854624766313,0.9212075382943342,0.9234867596166948,0.885856199917731,0.924475,212.32499861717224
raw,RF,320000,40000,40000,0.938775,0.951001771841352,0.9415386793120532,0.9192640885951594,0.9372681799161882,0.9375311148406515,0.9075456303463796,0.938775,27.71732449531555
raw,atbi-rnn,320000,40000,40000,0.926875,0.9456886514622286,0.9423733636881048,0.8834523494666314,0.9238381215389884,0.9258516261077236,0.8895614409400577,0.926875,211.0671026706696
raw,RF,320000,40000,40000,0.937225,0.947147594234283,0.9387082915652298,0.9223594208048326,0.936071768868115,0.9357690379185102,0.9052528564440816,0.937225,27.544981718063354
raw,atbi-rnn,320000,40000,40000,0.929425,0.948398939424842,0.9433921959555682,0.8871699119765271,0.926320349118979,0.9283898765033172,0.8933443969032876,0.929425,251.95029830932617
raw,gru,320000,40000,40000,0.929125,0.949582134538978,0.9484521341245442,0.8792816469557599,0.925771971873094,0.928695740648132,0.8929535974914576,0.929125,99.733500957489
raw,lstm,320000,40000,40000,0.929425,0.951098901098901,0.9409490333919156,0.8866696388765046,0.9262391911224404,0.928705404567197,0.8933233758407214,0.929425,95.4104413986206
raw,RF,320000,40000,40000,0.937075,0.950278140237621,0.938406827880512,0.918534141840232,0.935739703319455,0.9357802972507624,0.9050942288369916,0.937075,140.1062469482422
