Preprocessing,Model,Target Site,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Transfer Strategy,Train Site
7days_ln,RF,Site A to B,4000.0,0.0,0.8877187499999999,0.8246877168632893,0.9334805653710248,0.9100743006993008,0.8895738329646599,0.8878226814261904,0.8311056894388418,0.8877187499999999,Direct,
7days_ln,RF,Site A to D,4000.0,0.0,0.89665625,0.6159618008185539,0.8686538461538461,0.9821360336262894,0.8223146627636658,0.8907533393207936,0.7882148242121544,0.89665625,Direct,
7days_ln,RF,Site A to E,4000.0,0.0,0.6913749999999999,0.2502517623363545,0.1802825552825552,0.9400961538461536,0.4569103437173678,0.6233271342066066,0.2554927926182432,0.6913749999999999,Direct,
7days_ln,RF,Site A to F,4000.0,0.0,0.9644375,0.5864197530864198,0.9000000000000001,0.992970489977728,0.8262224889537128,0.8559462622556488,0.8058416888689817,0.9644375,Direct,
7days_ln,RF,Site D to E,4000.0,0.0,0.677375,0.2871349446122859,0.1464987714987714,0.9092307692307692,0.4479681521278953,0.611681743556876,0.2302033792122302,0.677375,Direct,
7days_ln,atbi-gru,Site A to B,4000.0,0.0,0.8562812500000001,0.765700902151284,0.8993816254416961,0.916193181818182,0.8606877157158022,0.8594322589656709,0.7847886745810319,0.8562812500000001,Direct,
7days_ln,atbi-gru,Site A to D,4000.0,0.0,0.81528125,0.353512960436562,0.6246153846153847,0.9913068398930072,0.657291984938709,0.8602522220060322,0.5765361998185748,0.81528125,Direct,
7days_ln,atbi-gru,Site A to E,4000.0,0.0,0.7275625,0.408484390735146,0.3574938574938575,0.906971153846154,0.5573508167786868,0.6558530559176188,0.3984802724990408,0.7275625,Direct,
7days_ln,atbi-gru,Site A to F,4000.0,0.0,0.954,0.5169753086419753,0.7295454545454545,0.9938752783964364,0.7474265523265873,0.8479556836539673,0.7277814475728188,0.954,Direct,
7days_ln,atbi-gru,Site D to E,4000.0,0.0,0.7125937499999999,0.5382678751258813,0.5003071253071253,0.8119711538461538,0.6166910277219945,0.6426960771780968,0.4265015336692742,0.7125937499999999,Direct,
