Preprocessing,Model,Target Site,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Transfer Strategy,Train Site
7days_ln,RF,Site A Previous Year,4000.0,0.0,0.89759375,0.8498115147361205,0.9546827794561932,0.8927691043549711,0.8990936233532203,0.9028962965236054,0.8462387501118911,0.89759375,Direct,
7days_ln,RF,Site B Previous Year,4000.0,0.0,0.90771875,0.8796202956989249,0.903458213256484,0.9500667259786476,0.911054242204392,0.9060283198373542,0.8612376409066393,0.90771875,Direct,
7days_ln,RF,Site C Previous Year,4000.0,0.0,0.71415625,0.5611160981448234,0.7642230169050716,0.9377370417193428,0.7548097909117435,0.7401545764247982,0.5756896236698918,0.71415625,Direct,
7days_ln,atbi-gru,Site A Previous Year,4000.0,0.0,0.88790625,0.854523646333105,0.9366503021148036,0.8766433853738701,0.8887131275752428,0.8930129938268989,0.8314944565725579,0.88790625,Direct,
7days_ln,atbi-gru,Site B Previous Year,4000.0,0.0,0.90615625,0.895413306451613,0.9304755043227664,0.8921263345195729,0.9055590371776634,0.9061423572488636,0.8583077504376548,0.90615625,Direct,
7days_ln,atbi-gru,Site C Previous Year,4000.0,0.0,0.80128125,0.7292040694195093,0.8474479843953184,0.8604614412136536,0.8126087706897516,0.79277721221234,0.6958320599288585,0.80128125,Direct,
7days_ln,atbi-lstm,Site A Previous Year,4000.0,0.0,0.88115625,0.8537525702535983,0.8974697885196375,0.8952341824157766,0.8824236395822955,0.8814486703944183,0.8215586776654313,0.88115625,Direct,
7days_ln,atbi-lstm,Site B Previous Year,4000.0,0.0,0.90925,0.8951612903225806,0.9230907780979828,0.9106983985765124,0.9096308194470956,0.9081858004434622,0.8631121822196461,0.90925,Direct,
7days_ln,atbi-lstm,Site C Previous Year,4000.0,0.0,0.8348125,0.7721424296828248,0.8754063719115734,0.8870101137800253,0.8449066311096908,0.8231880297628558,0.7459720334240507,0.8348125,Direct,
7days_ln,atbi-rnn,Site A Previous Year,4000.0,0.0,0.8939375,0.878084304318026,0.9186178247734138,0.8837304847986852,0.894080359233127,0.8961018836786471,0.8405341785767143,0.8939375,Direct,
7days_ln,atbi-rnn,Site B Previous Year,4000.0,0.0,0.911625,0.8940692204301075,0.930835734870317,0.910364768683274,0.9119888599901274,0.9100319626936564,0.8667589480880842,0.911625,Direct,
7days_ln,atbi-rnn,Site C Previous Year,4000.0,0.0,0.8255937499999999,0.7654847396768403,0.8594765929778934,0.8854298356510746,0.8364318136969552,0.8139924410258091,0.732709389454473,0.8255937499999999,Direct,
7days_ln,bi-gru,Site A Previous Year,4000.0,0.0,0.88259375,0.8413296778615491,0.9356117824773414,0.8746918652423995,0.8837693847859223,0.8867893636602162,0.8236739084521065,0.88259375,Direct,
7days_ln,bi-gru,Site B Previous Year,4000.0,0.0,0.911125,0.9084341397849462,0.9184978386167147,0.9048042704626336,0.9107818333316609,0.9093119423779746,0.8659280348867902,0.911125,Direct,
7days_ln,bi-gru,Site C Previous Year,4000.0,0.0,0.82553125,0.7694494314781567,0.8676853055916774,0.8618836915297092,0.8330397032039155,0.8142227275257847,0.7311382278946741,0.82553125,Direct,
