Preprocessing,Model,Target Site,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Transfer Strategy,Train Site
7days_ln,transformer,Site A+D to E,4000.0,0.0,0.74753125,0.47230614300100704,0.4898648648648648,0.8935576923076923,0.6170406068555615,0.689019653303706,0.4604582808213199,0.74753125,Direct,
7days_ln_pheno_peak,transformer,Site A+D to E,4000.0,0.0,0.7212812500000001,0.42837361530715,0.5393120393120393,0.8619230769230769,0.6092224350060452,0.643856147174873,0.4158183627279532,0.7212812500000001,Direct,
7days_ln_whi,transformer,Site A+D to E,4000.0,0.0,0.7487187500000001,0.49156596173212486,0.4668304668304668,0.8901442307692308,0.6169515324273632,0.6857990218939216,0.4669802602198986,0.7487187500000001,Direct,
7days_ln,transformer,,4000.0,1000.0,0.9539642857142858,0.9161956733580198,0.9145054945054946,0.9732518150554068,0.9352019893903715,0.9363729854189163,0.9099775030709758,0.9539642857142858,,Site D
7days_ln,transformer,,4000.0,1000.0,0.7780357142857143,0.5735865343116098,0.6307476307476306,0.8779670329670328,0.6950913281124762,0.7116057403071282,0.5487594669345583,0.7780357142857143,,Site E
7days_ln_pheno_peak,transformer,,4000.0,1000.0,0.9437857142857142,0.9029428961216137,0.9026373626373628,0.9661553578252089,0.9239118721947283,0.9196932662799874,0.8905561503746091,0.9437857142857142,,Site D
7days_ln_pheno_peak,transformer,,4000.0,1000.0,0.77975,0.5589123867069486,0.5952965952965953,0.8927472527472528,0.6828628835577476,0.7206919494119441,0.5439133278076688,0.77975,,Site E
7days_ln_whi,transformer,,4000.0,1000.0,0.9541428571428572,0.9165854609237964,0.9173626373626373,0.9734155794530268,0.9360555705394286,0.9368841844600814,0.9103444125832875,0.9541428571428572,,Site D
7days_ln_whi,transformer,,4000.0,1000.0,0.7767142857142856,0.5684074233923176,0.6181116181116181,0.88010989010989,0.6902918587812847,0.7108497504799194,0.5442320437979568,0.7767142857142856,,Site E
7days_ln,transformer,Site A to D,4000.0,0.0,0.9116875,0.7160641200545703,0.8473076923076922,0.9826136797860144,0.8487975306801318,0.9033331594258848,0.8203244247898316,0.9116875,Direct,
7days_ln,transformer,Site A to E,4000.0,0.0,0.7356562499999999,0.4039526686807653,0.4404176904176904,0.908221153846154,0.5852431689025346,0.6726601562167519,0.4197497934355838,0.7356562499999999,Direct,
7days_ln,transformer,Site D to E,4000.0,0.0,0.7031250000000001,0.3265357502517623,0.3971130221130221,0.8977403846153846,0.5384151916610376,0.6372687675585288,0.3300796348259781,0.7031250000000001,Direct,
7days_ln_pheno_peak,transformer,Site A to D,4000.0,0.0,0.86840625,0.626193724420191,0.7576923076923077,0.9627435995414598,0.7835078500386949,0.851333060072189,0.7291409074041051,0.86840625,Direct,
7days_ln_pheno_peak,transformer,Site A to E,4000.0,0.0,0.6996249999999999,0.4472557905337361,0.4889434889434889,0.8301442307692308,0.5889378759979214,0.6195844551008287,0.3812509363236296,0.6996249999999999,Direct,
7days_ln_pheno_peak,transformer,Site D to E,4000.0,0.0,0.67021875,0.1879405840886202,0.1848894348894348,0.9297115384615384,0.4341805191465311,0.5660640017181291,0.1890373375075878,0.67021875,Direct,
7days_ln_whi,transformer,Site A to D,4000.0,0.0,0.90565625,0.673431105047749,0.8555769230769231,0.9828047382499044,0.8373385853391598,0.9055459243015188,0.8063196467045475,0.90565625,Direct,
7days_ln_whi,transformer,Site A to E,4000.0,0.0,0.7371874999999999,0.4117573011077542,0.4821867321867322,0.9015384615384616,0.5970027958736417,0.6674521877772783,0.4276900303014512,0.7371874999999999,Direct,
7days_ln_whi,transformer,Site D to E,4000.0,0.0,0.6859374999999999,0.2542799597180261,0.4106265356265355,0.8913461538461539,0.5220916885739393,0.5900551041053103,0.2924093356700334,0.6859374999999999,Direct,
