Preprocessing,Model,Target Site,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Transfer Strategy,Train Site
7days_ln,transformer,Site C 2021 to 2022,4000.0,0.0,0.6478125,0.49341711549970074,0.8339564369310793,0.6134639696586599,0.6467418229828915,0.6451809013202522,0.4413781719318245,0.6478125,Direct,
7days_ln,transformer,Site C 2021+2023 to 2022,4000.0,0.0,0.8328125,0.7476810293237582,0.8687418725617685,0.9371049304677623,0.8519524477079723,0.8241730220450254,0.7460342523765943,0.8328125,Direct,
7days_ln,transformer,Site C 2023 to 2022,4000.0,0.0,0.7893749999999999,0.6819269898264513,0.8272106631989596,0.9423198482932996,0.8173105282524652,0.7923644312484088,0.6845305280950671,0.7893749999999999,Direct,
7days_ln_pheno_peak,transformer,Site C 2021 to 2022,4000.0,0.0,0.8434062499999999,0.8361011370436864,0.8025845253576074,0.9391592920353983,0.8589655958531072,0.833676795883396,0.7627387659883749,0.8434062499999999,Direct,
7days_ln_pheno_peak,transformer,Site C 2021+2023 to 2022,4000.0,0.0,0.86040625,0.8568222621184919,0.8258289986996098,0.9339443742098611,0.8723980263578148,0.8464881849836479,0.7872391366444897,0.86040625,Direct,
7days_ln_pheno_peak,transformer,Site C 2023 to 2022,4000.0,0.0,0.8282499999999999,0.7932375822860563,0.8108745123537061,0.9361567635903919,0.8465756877547858,0.8189380202847445,0.7395502253446807,0.8282499999999999,Direct,
7days_ln_whi,transformer,Site C 2021 to 2022,4000.0,0.0,0.7097187500000001,0.5800445103857567,0.8485561323815703,0.7177002583979327,0.7154036605676384,0.7073037165972301,0.543404721405924,0.7097187500000001,Direct,
7days_ln_whi,transformer,Site C 2021+2023 to 2022,4000.0,0.0,0.80771875,0.6916913946587536,0.8810025957170668,0.9147286821705426,0.8290332250434475,0.8023766126174707,0.7073770137116625,0.80771875,Direct,
7days_ln_whi,transformer,Site C 2023 to 2022,4000.0,0.0,0.79859375,0.6748516320474778,0.8758111615833875,0.9129521963824289,0.8214910698846303,0.7946081001560691,0.6936359229287727,0.79859375,Direct,
7days_ln,transformer,,4000.0,1000.0,0.9364642857142856,0.9519534923484656,0.9490990154189116,0.87646740111974,0.926267429661526,0.9277004042426394,0.9004317084170863,0.9364642857142856,,Site C Year 2022
7days_ln_pheno_peak,transformer,,4000.0,1000.0,0.9285714285714286,0.937676327263401,0.9450120750510868,0.8723135271807838,0.9193418389805118,0.919658487031789,0.8881381026621471,0.9285714285714286,,Site C Year 2022
7days_ln_whi,transformer,,4000.0,1000.0,0.9215714285714286,0.9323442136498516,0.9420598869008991,0.8575119970468809,0.9100660984527814,0.9098296794182616,0.8768381498107566,0.9215714285714286,,Site C Year 2022
